	0
alegria	alegria
medo	medo
nojo	nojo
raiva	raiva
surpresa	surpresa
tristeza	tristeza
contentamento	alegria
pavor	medo
asco	nojo
fúria	raiva
espanto	surpresa
infelicidade	tristeza
satisfação	alegria
fobia	medo
aversão	nojo
ira	raiva
admiração	surpresa
desânimo	tristeza
felicidade	alegria
horror	medo
náusea	nojo
cólera	raiva
assombro	surpresa
tristura	tristeza
prazer	alegria
terror	medo
enjoo	nojo
irritação	raiva
pasmo	surpresa
descontentamento	tristeza
regozijo	alegria
pânico	medo
repugnância	nojo
ódio	raiva
maravilha	surpresa
abatimento	tristeza
júbilo	alegria
temor	medo
repulsão	nojo
gana	raiva
maravilhamento	surpresa
melancolia	tristeza
riso	alegria
susto	medo
repulsa	nojo
furor	raiva
sobressalto	surpresa
desalento	tristeza
bom humor	alegria
ojeriza	medo
fastio	nojo
zanga	raiva
abalo	surpresa
desolação	tristeza
agrado	alegria
amedrontamento	medo
abominação	nojo
agressividade	raiva
choque	surpresa
desconsolo	tristeza
regalo	alegria
receio	medo
animosidade	nojo
sanha	raiva
comoção	surpresa
insatisfação	tristeza
animação	alegria
apreensão	medo
enojo	nojo
exasperação	raiva
perturbação	surpresa
esmorecimento	tristeza
gosto	alegria
preocupação	medo
engulho	nojo
frustração	raiva
emoção	surpresa
prostração	tristeza
bem-estar	alegria
ansiedade	medo
antojo	nojo
indignação	raiva
estranheza	surpresa
depressão	tristeza
comprazimento	alegria
inquietação	medo
luto	nojo
antipatia	raiva
espavento	surpresa
desesperança	tristeza
contento	alegria
incerteza	medo
dó	nojo
odiosidade	raiva
fascínio	surpresa
mágoa	tristeza
deleite	alegria
dúvida	medo
pesar	nojo
execração	raiva
imprevisto	surpresa
desgosto	tristeza
deleitação	alegria
covardia	medo
crepe	nojo
desprezo	raiva
inesperado	surpresa
sofrimento	tristeza
deleitamento	alegria
fraqueza	medo
cipreste	nojo
rancor	raiva
repentino	surpresa
aflição	tristeza
aprazimento	alegria
frouxidão	medo
vergonha	nojo
ressentimento	raiva
súbito	surpresa
angústia	tristeza
exultação	alegria
poltronaria	medo
pudor	nojo
hidrofobia	raiva
presente	surpresa
consternação	tristeza
entusiasmo	alegria
pusilanimidade	medo
recato	nojo
danação	raiva
brinde	surpresa
dissabor	tristeza
jovialidade	alegria
poltronice	medo
decoro	nojo
moléstia	raiva
mimo	surpresa
amargura	tristeza
enlevo	alegria
ignávia	medo
pejo	nojo
desejo	raiva
lembrança	surpresa
dor	tristeza
euforia	alegria
alarma	medo
ânsia	nojo
frenesi	raiva
estupefação	surpresa
azar	tristeza
alacridade	alegria
cagaço	medo
mal-estar	nojo
impetuosidade	raiva
perplexidade	surpresa
desgraça	tristeza
desfastio	alegria
estarrecimento	medo
repelência	nojo
repelo	raiva
estuporação	surpresa
fatalidade	tristeza
jubilidade	alegria
intolerância	medo
animadversão	nojo
violência	raiva
estranhez	surpresa
desdita	tristeza
ledice	alegria
crueldade	medo
desafeto	nojo
onda	raiva
confusão	surpresa
desventura	tristeza
desculpa	alegria
monstruosidade	medo
embirração	nojo
alteração	raiva
alvoroço	surpresa
