	0
alegria	alegria
medo	medo
nojo	nojo
raiva	raiva
tristeza	tristeza
animação	alegria
pavor	medo
asco	nojo
fúria	raiva
infelicidade	tristeza
alacridade	alegria
fobia	medo
aversão	nojo
ira	raiva
desânimo	tristeza
agrado	alegria
horror	medo
náusea	nojo
cólera	raiva
tristura	tristeza
felicidade	alegria
terror	medo
enjoo	nojo
irritação	raiva
descontentamento	tristeza
prazer	alegria
pânico	medo
repugnância	nojo
ódio	raiva
abatimento	tristeza
aprazimento	alegria
temor	medo
repulsão	nojo
gana	raiva
melancolia	tristeza
euforia	alegria
susto	medo
repulsa	nojo
furor	raiva
desalento	tristeza
bem-estar	alegria
ojeriza	medo
fastio	nojo
zanga	raiva
desolação	tristeza
bom humor	alegria
amedrontamento	medo
abominação	nojo
agressividade	raiva
desconsolo	tristeza
comprazimento	alegria
receio	medo
animosidade	nojo
sanha	raiva
insatisfação	tristeza
contentamento	alegria
apreensão	medo
enojo	nojo
exasperação	raiva
esmorecimento	tristeza
contento	alegria
preocupação	medo
engulho	nojo
frustração	raiva
prostração	tristeza
deleitação	alegria
ansiedade	medo
antojo	nojo
indignação	raiva
depressão	tristeza
deleitamento	alegria
inquietação	medo
luto	nojo
antipatia	raiva
desesperança	tristeza
deleite	alegria
incerteza	medo
dó	nojo
odiosidade	raiva
mágoa	tristeza
desfastio	alegria
dúvida	medo
pesar	nojo
execração	raiva
desgosto	tristeza
enlevo	alegria
covardia	medo
crepe	nojo
desprezo	raiva
sofrimento	tristeza
entusiasmo	alegria
fraqueza	medo
cipreste	nojo
rancor	raiva
aflição	tristeza
gáudio	alegria
frouxidão	medo
vergonha	nojo
ressentimento	raiva
angústia	tristeza
gosto	alegria
poltronaria	medo
pudor	nojo
hidrofobia	raiva
consternação	tristeza
gozo	alegria
pusilanimidade	medo
recato	nojo
danação	raiva
dissabor	tristeza
jovialidade	alegria
poltronice	medo
decoro	nojo
moléstia	raiva
amargura	tristeza
jubilação	alegria
ignávia	medo
pejo	nojo
desejo	raiva
dor	tristeza
júbilo	alegria
médico	medo
constrangimento	nojo
apetite	raiva
pena	tristeza
jucundidade	alegria
camarção	medo
tédio	nojo
ânsia	raiva
padecimento	tristeza
ledice	alegria
espanto	medo
aborrecimento	nojo
paixão	raiva
infortúnio	tristeza
pasto	alegria
alarma	medo
chatice	nojo
arrebatamento	raiva
mortificação	tristeza
regalo	alegria
cagaço	medo
enfado	nojo
assanhamento	raiva
azar	tristeza
regozijo	alegria
estarrecimento	medo
amolação	nojo
exaltação	raiva
desgraça	tristeza
riso	alegria
intolerância	medo
mal-estar	nojo
castigo	raiva
fatalidade	tristeza
satisfação	alegria
crueldade	medo
repelência	nojo
punição	raiva
desdita	tristeza
glória	alegria
monstruosidade	medo
afronta	nojo
vingança	raiva
desventura	tristeza
festa	alegria
barbaridade	medo
estuação	nojo
vontade	raiva
misantropia	tristeza
divertimento	alegria
atrocidade	medo
agonia	nojo
garra	raiva
aborto	tristeza
diversão	alegria
hediondez	medo
naupatia	nojo
anseio	raiva
mal	tristeza
distração	alegria
selvajaria	medo
peso	nojo
avidez	raiva
