Agente	Frase	Rodada
AgCD1 - Fiscal Cidadela	pode ser 2 de cada então?	3
AgCD3 | VerCD	AgCD3 -- Eu quero 6 pacotes 3... Qual o valor?	3
AgCD1 - Fiscal Cidadela	2 do 1, 2 do 2 e 2 do 3?	3
EmpMaq - PrefeitaATLANTIS	agcd1 pode, compra fechada 2 tipo 1 baixo, 2 tipo 2 alto e 2 tipo 3 alto	3
EmpMaq - PrefeitaATLANTIS	agcd3 agora valores apenas alto	3
EmpMaq - PrefeitaATLANTIS	agcd3 vai fechar ?	3
AgCD3 | VerCD	AgCD3 -- Ok... 6 pacotes do tipo 3 por valor ALTO. Obrigado!	3
EmpMaq - PrefeitaATLANTIS	agcd3 fechado	3
AgAt2	AgAt2- gostaria de 3 padotes de maquina 3	3
AgAt2	tem como	3
AgAt2	alguem ai	3
EmpMaq - PrefeitaATLANTIS	AgAt2 desculpe	3
EmpMaq - PrefeitaATLANTIS	ok preço alto	3
AgAt2	ja tava até indo embora	3
AgAt2	3 pacote 3	3
EmpMaq - PrefeitaATLANTIS	pedido fechado 3 do pacote 3 pelo preço alto	3
AgAt2	opa	3
AgAt2	nem pelo normal amigo	3
AgAt2	:frowning:	3
EmpMaq - PrefeitaATLANTIS	infelizmente não amigo	3
AgAt2	é so 3	3
EmpMaq - PrefeitaATLANTIS	tivemos baixas e tivemos que aumentar os preços.	3
EmpMaq - PrefeitaATLANTIS	mas o pacote 1 está com preço baixo caso queira	3
AgAt2	vai o 1 então	3
AgAt2	3 1	3
EmpMaq - PrefeitaATLANTIS	ok	3
AgAt2	3 pacotes 1	3
EmpMaq - PrefeitaATLANTIS	fechado 3 do pacote 1 preço baixo.	3
EmpMaq - PrefeitaATLANTIS	mais alguém gostaria de algo ?	3
EmpMaq - PrefeitaATLANTIS	caso ninguém queira fechamos	3
EmpMaq - PrefeitaATLANTIS	Negociações fechadas	3

AgCD3 | VerCD06/02/2020
Olá! Gostaria de comprar 6 (SEIS) unidades do PACOTE 3. Qual o valor? :slight_smile:
EmpMaq - PrefeitaATLANTIS06/02/2020
Ola pacotes do tipo 3 e pulverizadores apenas preço alto
pacotes tipo 2 e 1 temos 3 unidades cada preço baixo e o resto medio
AgCD1 - Fiscal Cidadela06/02/2020
Olá, gostaria de 6 do pacote 2
EmpMaq - PrefeitaATLANTIS06/02/2020
agcd1 3 pelo preço baixo e 3 pelo medio do tipo 2 correto ?
AgCD1 - Fiscal Cidadela06/02/2020
correto
obrigada
AgCD2 / PrefeitoCD - GustavoLima06/02/2020
Bom dia, como estão os preços dos pacotes 2 e 3?
EmpMaq - PrefeitaATLANTIS06/02/2020
agcd2 pacote 2 preços medios e pacote 3 alto
AgCD2 / PrefeitoCD - GustavoLima06/02/2020
Não da pra negociar os preços do pacote 3?
Estou quase falindo haha
EmpMaq - PrefeitaATLANTIS06/02/2020
infelizmente não preços altos apenas
AgCD2 / PrefeitoCD - GustavoLima06/02/2020
Quantas unidades do 2 e do 3 tem?
EmpMaq - PrefeitaATLANTIS06/02/2020
temos 3 do pacote 1 a preço baixo
AgCD2 / PrefeitoCD - GustavoLima06/02/2020
E do pacote 2?
EmpMaq - PrefeitaATLANTIS06/02/2020
temos 4 unidades do pacote 2 e 8 do pacote 3
AgCD2 / PrefeitoCD - GustavoLima06/02/2020
Me vê 3 do pacote 1 (baixo) e 3 do pacote 2 (médio) então, fechado?
AgAT306/02/2020
bom dia! gostaria de negociar alguns pacotes a preço baixo, o que consegues fazer pra mim?
EmpMaq - PrefeitaATLANTIS06/02/2020
agcd2 fechado 6 pacotes ao total
AgCD2 / PrefeitoCD - GustavoLima06/02/2020
Certo, obrigado
EmpMaq - PrefeitaATLANTIS06/02/2020
agAT3 preço baixo temos apenas pacote do tipo 1
AgAT306/02/2020
certo, gostaria de comprar 6 pacotes a preço baixo então.
EmpMaq - PrefeitaATLANTIS06/02/2020
agat3 fechamos então em 6 pacotes do tipo 1 a preço baixo
AgCD1 - Fiscal Cidadela06/02/2020
Empresário de máquinas
vou ter que cancelar a compra
não tenho saldo
desculpe
EmpMaq - PrefeitaATLANTIS06/02/2020
eita ok
voce quer cancelar toda ?
tinha 3 pacotes do tipo 2 a preço baixo e 3 a preço normal
AgCD1 - Fiscal Cidadela06/02/2020
isso
toda
EmpMaq - PrefeitaATLANTIS06/02/2020
ok
AgAt3 agora temos pacotes do tipo 2 a preço baixo caso queira
agCD1 compra cancelada
AgAT306/02/2020
obrigada! mas estou tendo que diminuir custos de produção
EmpMaq - PrefeitaATLANTIS06/02/2020
entendo
Disponibilizamos para quem quiser pacotes do tipo 1 a preço baixo, 3 pacotes do tipo 2 também a preço baixo
e pacotes do tipo 3 e pulverizadores a preço alto
Caso ninguém tenha mais nenhuma negociação para fazer fechamos as vendas por hoje
