Agente	Frase	Rodada
AgCD3 | VerCD	AgCD3 -- Bom dia! Gostaria de comprar 6 (SEIS) sacos de fertilizante SUPER PREMIUM pelo preço BAIXO :slight_smile:	1
EmpFert	Bom dia!	1
EmpFert	Feito :slight_smile:	1
AgCD1 - Fiscal Cidadela	bom dia!	1
EmpFert	Bom dia!	1
AgCD1 - Fiscal Cidadela	eu gostaria de comprar 3 fertilizantes super premium	1
AgCD1 - Fiscal Cidadela	vi que o preço está baixo	1
AgCD1 - Fiscal Cidadela	não posso perder	1
EmpFert	AgCD1, certo?	1
AgCD1 - Fiscal Cidadela	isso	1
EmpFert	Preço baixo :slight_smile:	1
AgCD1 - Fiscal Cidadela	obrigada!	1
AgCD3 | VerCD	AgCD3 -- OK... Obrigado por me vender 6 (SEIS) sacos de fertilizante SUPER PREMIUM pelo preço BAIXO :slight_smile:	1
EmpFert	De nada pessoal, voltem sempre!	1
EmpFert	Nosso estoque está baixo, possuo fertilizante comum pelo preço baixo e premium pelo preço normal, a promoção do fertilizante super premium acabou e zeramos o estoque (retorna rodada que vem)	1
AgAt2	opa	1
EmpFert	Olá	1
AgAt2	o Empresario ta livre	1
AgAt2	kkkkkk	1
AgAt2	queria 6 sacas	1
AgAt2	do melhor fertilizante q vc tiver	1
EmpFert	premium pelo preço normal, os vizinhos do AgCD3 e agCD1 levaram todo o estoque do super premium	1
AgAt2	:frowning:	1
AgAt2	vamo de premium	1
AgAt2	então	1
AgAt2	mas n conseguia me fazer um descontinho	1
AgAt2	:upside_down:	1
EmpFert	Nessa rodada o desconto era no super premium	1
EmpFert	toda rodada terá desconto, mas possui estoque	1
EmpFert	quem chegar primeiro leva	1
AgAt2	ok me ve 6 sacas do premium então	1
AgAt1	Bom dia, desejo comprar fertilizantes comum	1
EmpFert	qual o nome?	1
EmpFert	6 sacas do premium preço normal, qual a sua Ag?	1
AgCD2 / PrefeitoCD	AgCD2: bom dia, queria comprar 4 fertilizantes premium e 2 super-premium... consegue me fazer um preço bom?	1
AgAt2	AgAt2	1
EmpFert	Obrigada! Bom dia, Storch qual sua Ag?	1
AgAt1	AgAT1	1
AgCD1	oi, quanto está p fertilizante comum?	1
EmpFert	AgCD2, bom dia! Possuo apenas fertilizantes premium (preço normal) e comum (preço baixo).	1
AgCD1 - Fiscal Cidadela	eu gostaria de 3 comum, sou AgCD1	1
EmpFert	AgAT1, o fertilizante comum está com preço baixo, qual a quantidade?	1
EmpFert	certo AgCD1, feito! Obrigada :slight_smile:	1
EmpFert	preço baixo	1
AgCD1 - Fiscal Cidadela	obrigada	1
AgCD2 / PrefeitoCD	Consegue fazer 4 comum (preço baixo) e 2 premium (preço baixo)? O premium já é mais caro :frowning:	1
EmpFert	Não consigo fazer desconto, pois o super premium estava com preço baixo e acabaram os estoques	1
EmpFert	rodada que vem teremos promoção novamente, fique atento, pois acaba rápido	1
AgAt1	Desejo o Premium	1
AgCD2 / PrefeitoCD	Ta certo... eu fecho no preço que tu propôs, mas quero um desconto que fica pendente pra próxima rodada, feito?	1
AgAt1	Seis unidades	1
AgAt1	Qual seu preço para tal produto?	1
EmpFert	Certo AgAT1, 6 unidades do premium a preço normal	1
EmpFert	AgCD2, vai querer 4 comum (preço baixo) e 2 premium (preço normal)? Rodada que vem teremos estoque com desconto, mas você deve vir no início da rododa pois teremos estoque dos produtos com desconto	1
AgCD2 / PrefeitoCD	Certo, fechado então, obrigado	1
EmpFert	Volte sempre!	1
AgAt1	Estou comprando um pacote de SEIS sacas, qual a margem de desconto para mim?	1
EmpFert	posso fazer 4 unidades a preço normal e 2 a preço baixo	1
AgAt1	Ótimo	1
AgAt1	Tens um negócio!	1
AgAt1	Grato pela parceiria	1
EmpFert	AgAT1, 4 unidades premium (preço normal) e 2 unidades premium (preço baixo)	1
EmpFert	Feito, valeu :slight_smile:	1
AgAT3	bom dia! Fiquei sabendo que consegues um desconto para quem compra seis sacas do fertilizante premium. Estou interessada em fazer negócio :slight_smile:	1
EmpFert	Bom dia, posso fazer o mesmo negócio feito para o AgAT1	1
AgAT3	certo! vou querer.	1
AgAT3	sou AgAT3	1
EmpFert	negócio fechado :slight_smile:	1
EmpFert	Bom dia! Estamos com promoção: Premium (estoque  20 un.): preço baixo, máximo 5 un. por cliente e Super Premium (estoque 20 un.): preço normal, máximo 5 un. por cliente	2
EmpFert	Valores após final do estoque promocional: Comum: preço baixo; Premium: preço normal, a partir de 3 unidades uma sai com preço baixo; Super Premium: preço alto, a partir de 6 unidades podemos negociar!	2
EmpFert	**OBS: peço que ao iniciar a sua compra informe sua Ag e tipo de fertilizante que deseja comprar :smile:	2
AgCD3 | VerCD	AgCD3 -- Olá! Gostaria de comprar 6 (SEIS) sacos de fertilizante SUPER PREMIUM pelo preço BAIXO -- Informação Importante: Conheço o FISCAL :wink:	2
AgCD2 / PrefeitoCD	AgCD2 - Gostaria de comprar 6 sementes de soja. Consegue fazer pelo preço baixo?	2
AgCD1 - Fiscal Cidadela	Olá, sou AgCD1 e gostaria de comprar 6 fertilizantes do tipo premium, o preço é negociável?	2
AgAT3	AgAT3 - Oi! Gostaria de comprar 5 fertilizantes do tipo premium pelo preço baixo da promoção, e 1 pelo normal	2
AgCD2 / PrefeitoCD	AgCD2 - Gostaria de comprar 6 fertiliantes super premium. Consegue fazer pelo preço baixo?	2
AgCD2 / PrefeitoCD	Ixi, mandei errado antes	2
EmpFert	Bom dia AgCD3, o que podes me oferecer em troca desse "favor?"	2
EmpFert	AgCD1, 6 fertilizantes premium posso te fazer 5 com preço baixo e 1 com preço normal	2
AgCD1 - Fiscal Cidadela	Ok, obrigada!	2
EmpFert	AgAT3, feito!	2
EmpFert	AgCD1, tudo certo :slight_smile:	2
AgCD3 | VerCD	AgCD3 --  Conheço o Fiscal. Ele pode diminuir uma unidade na multa... Se houver multa :wink:	2
AgAt2	AgAt2-opa tem 6 super premium?	2
AgCD2 / PrefeitoCD	Ainda estou sem resposta :frowning:	2
EmpFert	Um momento	2
AgCD3 | VerCD	AgCD3 -- Então? 6 (SEIS) sacos de fertilizante SUPER PREMIUM pelo preço BAIXO. Já falei com o FISCAL :wink:	2
EmpFert	AgCD3, faço 5	2
EmpFert	agAt2 6 super premium saem 5 com preço normal e 1 com preço alto	2
AgAt1	At1 - 6 SP	2
AgAt2	ok	2
AgAt2	AgAt2-6 SuperPremium 5 normal e 1 alto	2
EmpFert	Fechou	2
EmpFert	At1 - 6 super premium saem 5 com preço normal e 1 com preço alto	2
AgAt1	Ok	2
